"year","age","suicide_per_100k"
1985,"5-14",0.49403884396477
1985,"15-24",9.07309067075623
1985,"25-34",11.9699831939615
1985,"35-54",14.5295616670072
1985,"55-74",18.8109076451467
1985,"75+",29.8264350491202
1986,"5-14",0.465447802844279
1986,"15-24",9.06601554509226
1986,"25-34",12.3060046470107
1986,"35-54",14.8098577201614
1986,"55-74",19.006961740423
1986,"75+",30.5315904409497
1987,"5-14",0.448841895979791
1987,"15-24",7.87772282244714
1987,"25-34",11.8044199634293
1987,"35-54",14.8639766412254
1987,"55-74",19.1495790433716
1987,"75+",30.4654708868139
1988,"5-14",0.428491204398931
1988,"15-24",7.82358225512991
1988,"25-34",11.7250694158792
1988,"35-54",14.5062484421077
1988,"55-74",18.3093593922199
1988,"75+",30.4102575262231
1989,"5-14",0.517230681087742
1989,"15-24",8.47372020907154
1989,"25-34",13.7788498854357
1989,"35-54",16.9097716239346
1989,"55-74",20.2601956577842
1989,"75+",31.5303132355352
1990,"5-14",0.557467693228012
1990,"15-24",8.86600078276932
1990,"25-34",13.782998973183
1990,"35-54",17.1048610357065
1990,"55-74",19.9751771314275
1990,"75+",31.6468240829692
1991,"5-14",0.572786676340746
1991,"15-24",8.84312405632921
1991,"25-34",13.799962310197
1991,"35-54",17.4688015670916
1991,"55-74",20.0258316026556
1991,"75+",30.7366292606141
1992,"5-14",0.589748572215036
1992,"15-24",8.87164892495345
1992,"25-34",13.9641523072215
1992,"35-54",18.1805413436595
1992,"55-74",20.440742020604
1992,"75+",29.8269164627785
1993,"5-14",0.649011976128389
1993,"15-24",9.45897695948304
1993,"25-34",14.9721980692652
1993,"35-54",19.8200374018135
1993,"55-74",21.6049750782923
1993,"75+",29.8807618985661
1994,"5-14",0.647168180676177
1994,"15-24",10.206523929772
1994,"25-34",15.5584391463447
1994,"35-54",20.3542237589237
1994,"55-74",21.8730364710177
1994,"75+",29.3741181511769
1995,"5-14",0.69464152120288
1995,"15-24",10.8156999659556
1995,"25-34",15.7990688657999
1995,"35-54",20.6800669700347
1995,"55-74",22.0816002465277
1995,"75+",28.7822655965666
1996,"5-14",0.641033504669616
1996,"15-24",10.6210691616286
1996,"25-34",15.2975818744231
1996,"35-54",20.062926022321
1996,"55-74",21.7030777326346
1996,"75+",27.2776490051983
1997,"5-14",0.621437919087362
1997,"15-24",10.2387345121061
1997,"25-34",14.4412514955983
1997,"35-54",18.860535715932
1997,"55-74",21.1743187229175
1997,"75+",27.0322581146652
1998,"5-14",0.687501576969125
1998,"15-24",10.3891552282125
1998,"25-34",14.5707320528844
1998,"35-54",19.1422808715303
1998,"55-74",21.9208772333792
1998,"75+",27.2749310792119
1999,"5-14",0.667225692600865
1999,"15-24",10.3784333958861
1999,"25-34",14.3959484817548
1999,"35-54",19.2379152065905
1999,"55-74",21.6373172719613
1999,"75+",25.8643558545123
2000,"5-14",0.672143904961964
2000,"15-24",10.3451145802592
2000,"25-34",14.1289041557548
2000,"35-54",19.0894665592462
2000,"55-74",20.8862998382986
2000,"75+",25.0498875812041
2001,"5-14",0.710846824934626
2001,"15-24",10.338763483082
2001,"25-34",14.1587260505645
2001,"35-54",19.2722255826899
2001,"55-74",20.5644887189391
2001,"75+",24.3569346580149
2002,"5-14",0.685304132329466
2002,"15-24",10.0505987041132
2002,"25-34",14.0226184944348
2002,"35-54",18.7990952398877
2002,"55-74",20.2263120594447
2002,"75+",24.2723673076287
2003,"5-14",0.626348323030282
2003,"15-24",9.79531155000035
2003,"25-34",13.8305843403186
2003,"35-54",18.5816264039156
2003,"55-74",20.0112596959396
2003,"75+",24.1759678756078
2004,"5-14",0.678641687333656
2004,"15-24",9.88307378855706
2004,"25-34",13.6514970428602
2004,"35-54",18.1604017251767
2004,"55-74",19.1046630747817
2004,"75+",23.5345211354038
2005,"5-14",0.670967205884003
2005,"15-24",9.63557272626583
2005,"25-34",13.4541919493776
2005,"35-54",17.4402271627327
2005,"55-74",18.7976239696988
2005,"75+",23.1325645937927
2006,"5-14",0.619419145995917
2006,"15-24",9.15583964676714
2006,"25-34",12.6033660729196
2006,"35-54",16.2218233771218
2006,"55-74",17.7902580706441
2006,"75+",22.2709907946083
2007,"5-14",0.594460090871994
2007,"15-24",9.05915350916019
2007,"25-34",12.7207026058237
2007,"35-54",15.7951928274024
2007,"55-74",17.4335393646311
2007,"75+",22.2367339426252
2008,"5-14",0.58801616740413
2008,"15-24",9.31334147897471
2008,"25-34",12.6897273635468
2008,"35-54",15.966416905165
2008,"55-74",17.372336148811
2008,"75+",21.9868195574062
2009,"5-14",0.618333120084224
2009,"15-24",8.87638333911074
2009,"25-34",12.3876220107792
2009,"35-54",15.7300264209243
2009,"55-74",17.0541858534324
2009,"75+",20.9338573994941
2010,"5-14",0.592933575315814
2010,"15-24",8.6269056119224
2010,"25-34",11.9540537030691
2010,"35-54",15.0496915721984
2010,"55-74",16.5478646486382
2010,"75+",20.751382719552
2011,"5-14",0.63892031022837
2011,"15-24",8.8225888598414
2011,"25-34",11.9447013771431
2011,"35-54",14.7734392756923
2011,"55-74",16.1367561353025
2011,"75+",20.6421713241381
2012,"5-14",0.644874252888609
2012,"15-24",8.90785060398346
2012,"25-34",12.0714555813546
2012,"35-54",14.7725916303344
2012,"55-74",15.9994314963396
2012,"75+",20.6395046989135
2013,"5-14",0.673440408220334
2013,"15-24",8.41374860858617
2013,"25-34",11.7398498681833
2013,"35-54",14.575591759133
2013,"55-74",15.8101033405472
2013,"75+",20.1747106723217
2014,"5-14",0.703804511258953
2014,"15-24",8.37947311240577
2014,"25-34",11.745693818682
2014,"35-54",14.2600519319231
2014,"55-74",15.44062861387
2014,"75+",20.1982566252565
2015,"5-14",0.681570302133871
2015,"15-24",8.34664037330367
2015,"25-34",11.5015140670038
2015,"35-54",13.8181906403653
2015,"55-74",15.1136828702196
2015,"75+",19.8302843720604
