"year","continent","suicide_per_100k"
1985,"Africa",11.9060274263846
1985,"Americas",8.41144792567535
1985,"Asia",16.6259050468012
1985,"Europe",13.3424124449671
1985,"Oceania",12.5026295889881
1986,"Africa",3.03506017791732
1986,"Americas",8.67940680460591
1986,"Asia",17.1090559723866
1986,"Europe",13.228169939075
1986,"Oceania",13.7811941085115
1987,"Africa",14.7483498349835
1987,"Americas",8.57700861686193
1987,"Asia",14.5588315127483
1987,"Europe",14.473337004797
1987,"Oceania",14.5189459256312
1988,"Africa",18.0540540540541
1988,"Americas",8.38133734824604
1988,"Asia",16.2598144357395
1988,"Europe",14.099867725785
1988,"Oceania",14.460481399008
1989,"Africa",15.4357380212241
1989,"Americas",8.19232386685451
1989,"Asia",15.2297572765038
1989,"Europe",17.9627098357862
1989,"Oceania",13.5824067316361
1990,"Africa",15.620019126554
1990,"Americas",8.30689313287346
1990,"Asia",12.5462703494984
1990,"Europe",17.9583872379168
1990,"Oceania",14.0608793209289
1991,"Africa",14.603986781793
1991,"Americas",8.23583821428723
1991,"Asia",12.1480182485035
1991,"Europe",18.4056140215877
1991,"Oceania",14.3791931208114
1992,"Africa",15.3959717389012
1992,"Americas",8.47572110989121
1992,"Asia",10.593218917583
1992,"Europe",19.5625058454409
1992,"Oceania",14.0908942672212
1993,"Africa",14.4005008869874
1993,"Americas",8.60766796876643
1993,"Asia",11.7871455390606
1993,"Europe",21.2194229929164
1993,"Oceania",12.6502964827609
1994,"Africa",13.2606907894737
1994,"Americas",8.53930893589044
1994,"Asia",12.4784970207205
1994,"Europe",22.1744990277855
1994,"Oceania",14.071597391181
1995,"Africa",14.9709746410021
1995,"Americas",8.65977135848392
1995,"Asia",13.6667284126058
1995,"Europe",22.2684620430323
1995,"Oceania",13.4464857334865
1996,"Africa",0.763503461508025
1996,"Americas",8.41445230297925
1996,"Asia",15.1374539506305
1996,"Europe",21.6773423104538
1996,"Oceania",14.4871542520236
1997,"Africa",0.571575157694678
1997,"Americas",8.29368125815155
1997,"Asia",13.2209918445344
1997,"Europe",21.4447225939823
1997,"Oceania",15.4770068422532
1998,"Africa",0.832116869547523
1998,"Americas",8.36978149006658
1998,"Asia",16.0402093514933
1998,"Europe",20.6404342949274
1998,"Oceania",15.2900100504427
1999,"Africa",1.10622818679188
1999,"Americas",8.09573658932248
1999,"Asia",15.5030021863057
1999,"Europe",20.8474555929094
1999,"Oceania",14.1285320154229
2000,"Africa",0.970579151306371
2000,"Americas",7.99675992811241
2000,"Asia",14.9490152670679
2000,"Europe",20.9233623780081
2000,"Oceania",13.2385153904131
2001,"Africa",1.18828509647871
2001,"Americas",8.34314053922761
2001,"Asia",15.6053238928763
2001,"Europe",20.5612560983969
2001,"Oceania",13.3284299628966
2002,"Africa",0.865911165382119
2002,"Americas",8.38808026026339
2002,"Asia",14.9475195548803
2002,"Europe",20.321340651439
2002,"Oceania",12.4294388710483
2003,"Africa",0.807599789335759
2003,"Americas",8.34817910783341
2003,"Asia",15.8665290705613
2003,"Europe",19.5931599120832
2003,"Oceania",11.6420038295038
2004,"Africa",1.09982868923503
2004,"Americas",8.38014508779817
2004,"Asia",17.8999676375739
2004,"Europe",18.7866138364406
2004,"Oceania",11.2591284784581
2005,"Africa",1.26226099451109
2005,"Americas",8.38337069953291
2005,"Asia",18.0018832040174
2005,"Europe",17.9751882245649
2005,"Oceania",11.6982369927499
2006,"Africa",1.41323876587247
2006,"Americas",8.38475285168172
2006,"Asia",15.029243824128
2006,"Europe",16.9490939800189
2006,"Oceania",11.2357634181146
2007,"Africa",1.2010045026969
2007,"Americas",8.54627539066152
2007,"Asia",14.9417900714333
2007,"Europe",16.4416315285283
2007,"Oceania",11.2062555153229
2008,"Africa",1.17791809278628
2008,"Americas",8.82492459561863
2008,"Asia",15.2968788016357
2008,"Europe",16.2698083787692
2008,"Oceania",11.6655301697661
2009,"Africa",1.0480249873063
2009,"Americas",8.91609769866129
2009,"Asia",13.202509022096
2009,"Europe",16.3779259549746
2009,"Oceania",11.3628728504409
2010,"Africa",1.04797012614608
2010,"Americas",8.92572175098852
2010,"Asia",12.8895167114842
2010,"Europe",15.5502135064297
2010,"Oceania",11.8700477134959
2011,"Africa",1.0008154669393
2011,"Americas",9.06134454922361
2011,"Asia",12.8843571869032
2011,"Europe",15.2664935592806
2011,"Oceania",11.3520316272339
2012,"Africa",1.24112678967662
2012,"Americas",9.25333112385379
2012,"Asia",14.1100214041877
2012,"Europe",14.9132753004644
2012,"Oceania",12.0913211855018
2013,"Africa",1.40421503266823
2013,"Americas",9.22360507587367
2013,"Asia",14.1376718459978
2013,"Europe",14.4500493658858
2013,"Oceania",12.1298331322059
2014,"Africa",1.40386147253343
2014,"Americas",9.32099635662137
2014,"Asia",13.3947146873102
2014,"Europe",14.1279369481718
2014,"Oceania",13.1843052315788
2015,"Africa",1.16575647559538
2015,"Americas",9.60571805891132
2015,"Asia",13.427890154178
2015,"Europe",13.5416018081781
2015,"Oceania",13.6101311172245
