year,15-24,25-34,35-54,5-14,55-74,75+
1985,9.07309067075623,11.9699831939615,14.529561667007199,0.49403884396477,18.8109076451467,29.826435049120196
1986,9.06601554509226,12.306004647010699,14.8098577201614,0.46544780284427895,19.006961740423,30.531590440949696
1987,7.87772282244714,11.8044199634293,14.8639766412254,0.44884189597979096,19.149579043371602,30.465470886813897
1988,7.823582255129911,11.725069415879199,14.5062484421077,0.428491204398931,18.3093593922199,30.410257526223102
1989,8.473720209071539,13.778849885435697,16.9097716239346,0.517230681087742,20.260195657784198,31.530313235535196
1990,8.86600078276932,13.782998973183,17.104861035706502,0.5574676932280122,19.9751771314275,31.646824082969196
1991,8.843124056329211,13.799962310197001,17.4688015670916,0.572786676340746,20.0258316026556,30.736629260614098
1992,8.87164892495345,13.9641523072215,18.180541343659502,0.589748572215036,20.440742020604,29.826916462778502
1993,9.458976959483039,14.972198069265199,19.8200374018135,0.649011976128389,21.604975078292302,29.880761898566103
1994,10.206523929772,15.5584391463447,20.3542237589237,0.647168180676177,21.8730364710177,29.374118151176898
1995,10.8156999659556,15.799068865799901,20.680066970034698,0.69464152120288,22.0816002465277,28.7822655965666
1996,10.621069161628599,15.297581874423098,20.062926022321,0.641033504669616,21.7030777326346,27.277649005198302
1997,10.238734512106099,14.441251495598301,18.860535715932,0.621437919087362,21.174318722917498,27.032258114665197
1998,10.3891552282125,14.5707320528844,19.1422808715303,0.687501576969125,21.920877233379198,27.274931079211896
1999,10.3784333958861,14.395948481754802,19.2379152065905,0.667225692600865,21.637317271961304,25.8643558545123
2000,10.3451145802592,14.1289041557548,19.089466559246198,0.6721439049619641,20.8862998382986,25.0498875812041
2001,10.338763483082,14.158726050564498,19.2722255826899,0.7108468249346259,20.564488718939103,24.356934658014897
2002,10.0505987041132,14.0226184944348,18.7990952398877,0.6853041323294661,20.226312059444698,24.2723673076287
2003,9.79531155000035,13.830584340318598,18.5816264039156,0.626348323030282,20.0112596959396,24.1759678756078
2004,9.883073788557061,13.6514970428602,18.160401725176698,0.6786416873336559,19.104663074781698,23.5345211354038
2005,9.63557272626583,13.454191949377599,17.4402271627327,0.6709672058840029,18.7976239696988,23.1325645937927
2006,9.155839646767141,12.6033660729196,16.2218233771218,0.6194191459959171,17.790258070644104,22.270990794608302
2007,9.05915350916019,12.720702605823698,15.795192827402401,0.594460090871994,17.4335393646311,22.236733942625197
2008,9.31334147897471,12.689727363546801,15.966416905165,0.58801616740413,17.372336148810998,21.9868195574062
2009,8.87638333911074,12.3876220107792,15.7300264209243,0.6183331200842239,17.0541858534324,20.9338573994941
2010,8.6269056119224,11.9540537030691,15.0496915721984,0.5929335753158139,16.5478646486382,20.751382719551998
2011,8.8225888598414,11.9447013771431,14.7734392756923,0.63892031022837,16.1367561353025,20.642171324138104
2012,8.90785060398346,12.071455581354599,14.772591630334402,0.644874252888609,15.9994314963396,20.639504698913502
2013,8.41374860858617,11.7398498681833,14.575591759133001,0.673440408220334,15.8101033405472,20.174710672321698
2014,8.379473112405769,11.745693818682001,14.2600519319231,0.703804511258953,15.44062861387,20.1982566252565
2015,8.34664037330367,11.5015140670038,13.8181906403653,0.681570302133871,15.1136828702196,19.830284372060397
