"year","sex","suicide_per_100k"
1985,"Female",6.3314352445925
1985,"Male",16.8667919618169
1986,"Female",6.45456686403305
1986,"Male",17.176589979656
1987,"Female",6.26019578689897
1987,"Male",17.138508227599
1988,"Female",6.12773560821854
1988,"Male",17.0790797096898
1989,"Female",6.56913575116886
1989,"Male",19.9505563581074
1990,"Female",6.6483419536201
1990,"Male",20.0975417773916
1991,"Female",6.47986394944406
1991,"Male",20.4923873062416
1992,"Female",6.40176888495533
1992,"Male",20.9304168601698
1993,"Female",6.53570656933443
1993,"Male",22.8494843592002
1994,"Female",6.48338864405057
1994,"Male",23.9488433410882
1995,"Female",6.67002774680879
1995,"Male",24.4108078216309
1996,"Female",6.40086835754117
1996,"Male",23.7351830023844
1997,"Female",6.20380591056576
1997,"Male",22.4699474491673
1998,"Female",6.29206432498686
1998,"Male",23.0620355391532
1999,"Female",6.17462777467715
1999,"Male",23.0855387994959
2000,"Female",5.99586100681796
2000,"Male",22.8534327867743
2001,"Female",5.8915649003852
2001,"Male",23.0905397150017
2002,"Female",5.95172500338606
2002,"Male",22.5630019648722
2003,"Female",5.90534485610948
2003,"Male",22.3598751337976
2004,"Female",5.94814383798032
2004,"Male",22.0659013728781
2005,"Female",5.85572941175729
2005,"Male",21.5463368467585
2006,"Female",5.52572853652469
2006,"Male",20.165919556801
2007,"Female",5.60823028555501
2007,"Male",19.8167262697116
2008,"Female",5.67655089364275
2008,"Male",19.9462612940028
2009,"Female",5.45413458338867
2009,"Male",19.5053514499029
2010,"Female",5.32983201777479
2010,"Male",18.8767401731024
2011,"Female",5.37218235068357
2011,"Male",18.6931982421374
2012,"Female",5.41816626571494
2012,"Male",18.9582109443614
2013,"Female",5.32795528366686
2013,"Male",18.5799135974948
2014,"Female",5.2834562150288
2014,"Male",18.4003744768264
2015,"Female",5.20479873983591
2015,"Male",18.0407842155126
